network,address,milkyway_milk_balance,milkyway_milk_staking,osmosis_milk_balance,bsc_milk_balance
milkyway,milk10022x8ysl0kwfygfm4xnd3y08qrsz732jxv5ms,40592000,0,0,0
milkyway,milk1002te4hk4jwa493swdkv59tew9ykl7zy2tpkds,72741711,0,0,0
milkyway,milk1002tn46lg29qk2teuuntnqx732g46c2yhsgmjq,2187999,0,0,0
milkyway,milk1002zsydemfjk2vyndlm9elpqnepwsfks7ek7gt,113441196,0,0,0
milkyway,milk10033y7hsu4x9wvrr8j2pgxw84lg3wjjnhncpdd,10436432,0,0,0
milkyway,milk1003svqjays28wveu6yjczsczaeef2hq6k8lt4c,338060,0,0,0
milkyway,milk10042slvyled2e80hneh0gk0gr80jfhaque57pz,443,0,0,0
milkyway,milk1004mqvtqkckwzq0dkappks9ngf6ecc7zg7ykm4,15024710,0,0,0
milkyway,milk1005zhnl22z8z4sjh8xk5366ysjenrtrz7n7xj4,94898188,0,0,0
milkyway,milk1007yaf7zsmm7m6e5g7z5p9axk8xdzq2f692y0u,3357319435,0,0,0
milkyway,milk100a325n9ct4m2egvctrh48zheg2hwl5l9z0duy,60870,0,0,0
milkyway,milk100d70t6pqcgt3xywe9u5u73gxwe3zzqpssfapf,112855,0,0,0
milkyway,milk100e52ncju822uu59nc2alt2pgl468eveg4z0ad,0,0,0,0
milkyway,milk100e60hyahzw73t7q5h488qk0gp77f4qnhh6lwv,11272000,0,0,0
milkyway,milk100qhxzmm2s5260quxmuemehje7903s99x6ellk,0,0,0,0
milkyway,milk100suvmg5ah4k7wpyafd4vt8cj6n78560vst6l0,2403927136,0,0,0
milkyway,milk100tuw3qweykygkdwy0erfw2zzt9s5w7zdur3pf,0,0,0,0
milkyway,milk100ur03r6p4fc22wxphk3u3cvsamu8cfku2q2y3,37821929,0,0,0
milkyway,milk100y58xkjt7pnwf0aqp0yqdey3vvz2vve6awmey,0,0,0,0
milkyway,milk100z9stv7ckvvmvmlcynkmugcwx5z6v6jhdzgjw,1592053,0,0,0
milkyway,milk1020krznvzw7wdfwvlqazys2saq8nd33285u65x,12636,0,0,0
milkyway,milk1020zufvxs2un86v7w9h0gs9asuus7cjyf4f0zu,8738011,0,0,0
milkyway,milk102235d0cky6pd63xzklw23mzdvf4mxtyja4ldp,0,0,0,0
milkyway,milk10237g0ut0su5tt2fw3qp7a8czhfw85hh4rsj8s,94762,0,0,0
milkyway,milk1028phepljq5xtw0ckzn35ugd5cpf6n33hus73k,0,0,0,0
milkyway,milk102ape80zxjxjjmurua93r3j7rnwhu2e8ns5ck3,22536,0,0,0
milkyway,milk102c89u9pt6qnrsrh6urlwectve5mdxa4x38758,1054774,0,0,0
milkyway,milk102cawhmj22rwk6xxf94qzh6ftcf4wv57xddatc,0,0,0,0
milkyway,milk102dw9dltz0zwa7y5ckcptc3h75f0ym049nn7ae,4038000,0,0,0
milkyway,milk102e333r9ytzm7u6rlcwnc57fqj7nglefk43zef,0,0,0,0
milkyway,milk102feq0d9t05ujdpcre9htzvphxw9zg28y69qc0,247982,0,0,0
milkyway,milk102fmhagldpa8u3r2pkhzee0z8p50d6pagd8kfy,4810000,0,0,0
milkyway,milk102gksswuplunzzt78g7h9dk84cdnv2nmy9ue5g,30748000,0,0,0
milkyway,milk102huhhzmevw8anhekddk6jz0vhsre0aw53mmxp,48490000,0,0,0
milkyway,milk102j29nam09cr77q026wvn97udzz4ygc0wp72kf,93084,0,0,0
milkyway,milk102k9y0ukhj9t05dejd20qkzq2x4nl0p495029d,712636,0,0,0
milkyway,milk102kdwkmk8s3mxx7j47van49nhd83djp3pshcp5,0,0,0,0
milkyway,milk102kerxvm3hh6du48cd950c5g6xgcmhcryanywn,4921,0,0,0
milkyway,milk102khnmkczzxzv5dxmg53sdenhqn9mpj6k0ndgy,0,0,0,0
milkyway,milk102l2sp387gm7z8txjj7nxwsy9q9xax4r8ttm8k,8420000,0,0,0
milkyway,milk102mqf2u8mypaz6887y7cryr4klzcuvlrey07xv,7465999,0,0,0
milkyway,milk102ndwu3ak8hmedqhvx24strw4e97f8w06055w3,30256000,0,0,0
milkyway,milk102uq6yx8574c9khs20dmt6scyf2fs6amnht2mw,0,0,0,0
milkyway,milk102ut8tan0lz9pxktk9tjx3lu2rame3yph3j84h,816871,0,0,0
milkyway,milk102vawegvt9ahvue56635z3zc8rpp4q3nwdjg2p,72990059,0,0,0
milkyway,milk102vx25y7vpeun2vksdgsfne0pwzwpvfc9durl7,520,0,0,0
milkyway,milk102wxmldkpp80nxtm76jvr6nwfuaumpl2l2m76m,0,0,0,0
milkyway,milk102y4km7rgt7mtv2pe9fcnplw552477p77ch4yh,143661999,0,0,0
milkyway,milk102yaffs67a0rztw3wwtemv9rm6akllp7jm3qhj,0,0,0,0
milkyway,milk102yk7q749m78yvc4llusmv6z3htaehx6hhg9xf,7486000,0,0,0
milkyway,milk102zlu8383e6cxswwr3kxqz4h3gg2zx0mfh680d,48673068,0,0,0
milkyway,milk10345yfphapac7uu5dpys6f7w0tvyaerm3dwdw0,12878049,0,0,0
milkyway,milk1034h0dsvddqfp8dvk4wp2pv4llrf4n6nrark6f,0,0,0,0
milkyway,milk1034znln8akd8sndmtqxnagfkwf8w79h550zycr,34538,0,0,0
milkyway,milk1035wssxj6jwcnyelx50vz7y4eywm0l53jzyegm,21086845,0,0,0
milkyway,milk10363km0ase5ux932496ddyyf84eh5chz03euur,6102657,0,0,0
milkyway,milk10394eav8kra5k9x8n08490h0attk2mn6jr708h,34152208,0,0,0
milkyway,milk1039adywrgqqdsk8urlf5le6nfmy5n30sd7t93a,105949,0,0,0
milkyway,milk1039dt88j0stf5edp3pnv7cjhg5qktx8ug7k9k5,9190,0,0,0
milkyway,milk1039mxvw7gn8fj7azxrnnmukzevf59dw6ljv09j,0,0,0,0
milkyway,milk103a306xl0z0f7v8lu9gy9cc2q0hc53fnkwvyj2,1096816,0,0,0
milkyway,milk103cjgmkll9esgxz754pvgvlw273epgjafs2569,747642714,0,0,0
milkyway,milk103cr8a3pv2ph4m70ussklsqf9530y2q0800cgh,346495125,0,0,0
milkyway,milk103d26t50u3mw09gayzgwgna2juelkxewua29se,39901482,0,0,0
milkyway,milk103exgd8aadw336eudmje64fer2f7luxe38ld4r,7488000,0,0,0
milkyway,milk103hqscn2slypgh45x6nh6940nlvt97xn6f3fem,6227163,0,0,0
milkyway,milk103k2np935l3x5d705n4zxqaukfg6fpfgyfy47t,3046000,0,0,0
milkyway,milk103m4we6rnzgqrtkztxmpj85xt29lxzu080ad7f,461180,0,0,0
milkyway,milk103n8gvegvrmzqt3es5cy3qut2knn5ed7k4e4jt,422540871,0,0,0
milkyway,milk103nlyv94fs5wcqm4pz2evewqku2qceks0nuqz4,85120000,0,0,0
milkyway,milk103p9jv92mstgxk27kd7t28x6xgul26w9ecgdru,181941,0,0,0
milkyway,milk103sqnfs0que6ehe07l2kttdpxmleye6sller6t,0,0,0,0
milkyway,milk103swedctjwpfce809ynd0e08vl5gyvjd0tvwy6,0,0,0,0
milkyway,milk103sxefd3fdpre8yrsdef0x3xld9l6gg6sc9t9y,211610000,0,0,0
milkyway,milk103u6tgehttjhp7p94n0mrmmpyxp0ysz5nat9qr,34598000,0,0,0
milkyway,milk103umemcgpnj5cqc97wa5w8ndzur63wa07t25z7,0,0,0,0
milkyway,milk103ups96qmez2lp5xuwqpw8qdge2qf6mnmcgde2,128844000,0,0,0
milkyway,milk103verdnv4pzztty50ua7gs5gj25l2gwuh64pf2,4321090,0,0,0
milkyway,milk103y587gxsa77sqgasl46zcknhjfdr9h484f00t,97798085,0,0,0
milkyway,milk103y5l866xvd7x0eaaa9v207cstgtumpdsznzqm,11777315,0,0,0
milkyway,milk1044c4yzxcue2z3kxfn7v55fyzpsg42hpty4sec,0,0,0,0
milkyway,milk1045ngdhxsgefrr6h6ygsks4dcx7z5ut7te2fhn,0,0,0,0
milkyway,milk1046tsks30h00pyleyapp5uc34j2mvxlqa6akvd,346450125,0,0,0
milkyway,milk10477zd52wry5ekk87gwu8d46sszmw75pzluphn,0,0,0,0
milkyway,milk1047mmap9lrrw349q3c3actxw8qj8md5669p7c8,8689950,0,0,0
milkyway,milk1047szhhqtvz075f2dkwlevsrxjkjasqlggtt92,96181,0,0,0
milkyway,milk104cu4pm4hlphzw05gmutq09laedvc5a5rmmv2y,545251713,0,0,0
milkyway,milk104et53qyw4jgcvjrdtdm0tawscln9huwf922rx,21370820,0,0,0
milkyway,milk104exkd30sjslx38v7fjyqz84kpa3mdtaan9xwg,0,0,0,0
milkyway,milk104h7l9ymy7aw60rt8s4e3s9pl3e2samr9t4t2j,170890000,0,0,0
milkyway,milk104kdmj4fla63rk9ds3ed5nex7x440863t3w29r,0,0,0,0
milkyway,milk104kru5zuue6qj0mk68exn75es6m7lyr8yn7mdu,2978000,0,0,0
milkyway,milk104l9ht9s5qmg29cy2cv9jh9zfvjf640wgu2hc8,2013,0,0,0
milkyway,milk104lf7ha8eq8rrz87gn0rk3t35dc7eph27pkyhg,18740072,0,0,0
milkyway,milk104lflkulj20ecnggfcl7hzmep4m44d5tfl2tks,3357481436,0,0,0
milkyway,milk104m97wz9ppe5zu8krqufuu20ga4lnu3umuxkj5,52210938,0,0,0
milkyway,milk104mlemdxt9236e26cv77h5q5862rqtvgeuz4pj,43920000,0,0,0
milkyway,milk104rj504vk6uc4p7seu8n39spvuj88hc26y742r,11734000,0,0,0
milkyway,milk104rzlh9ejt4a873qm2meuyemwsdws869r4thgg,22000000,0,0,0
milkyway,milk104s5rg5xpxvfwl6f5u9zjtltmpmc5knsraqxcx,10930714,0,0,0
milkyway,milk104szw0qtg6kk0nqu4930nwazdhuz3q62g7qv2d,704313,0,0,0
milkyway,milk104u5pz52qrhuly6cnj275f4e5ckjrm8r8mxpr7,72113999,0,0,0
milkyway,milk104um45es2m0meklk35xrmc298pey0vvw6e45py,115732203,0,0,0
milkyway,milk104v9y36pwd95e9634dkndqskt6q5zlfwptymca,513,0,0,0
milkyway,milk104wejkmu9zslxc2nvm3rqq6kvg2apvn8l6jas4,3419136,0,0,0
milkyway,milk104wgcu66evf32swmdr5s4haznsvq6s9phhcrcc,290195,0,0,0
milkyway,milk104wu52tdzu3268qvcg0eg5gs3uvzksu29zf4kc,879765,0,0,0
milkyway,milk104xw0lcepr3d4yc07gz8nrckqpgytuh06706e6,29541060,0,0,0
milkyway,milk10500v49vfqx7v5y0x5wh7vycnc3s5xkcye4ea6,0,0,0,0
milkyway,milk10502cuqa90fkgndhdptgznxnmgeck8kqcwsfqq,551681,0,0,0
milkyway,milk1050uyda6jndgdsax3rkam3vsd2m8w7kehx7ykk,29413955,0,0,0
milkyway,milk1050yh6cl840z3ghjkvcaclxscvuqaf20zcffgk,21932000,0,0,0
milkyway,milk1052rx7jz3jw300eu9ujcnlfjqv5zp7qp3ruaj0,7586000,0,0,0
milkyway,milk10532n8wjzhaqawwhj7zx0na9cw93q2ypxrvmgm,0,0,0,0
milkyway,milk1054ka3ates5mu4cpu0t2tc5q3akgmr48mhqm72,1223713,0,0,0
milkyway,milk1055f0g59vdj8jxft3p20u50yvs7a0pskkgcc4y,0,0,0,0
milkyway,milk10564ucrfjyn4p7qeh5egpy6vtj3zvqv9v0s2u7,307803769,0,0,0
milkyway,milk1057md20daf9q39a4d5etstxd6g5ux7m7h992gd,79818000,0,0,0
milkyway,milk1057z9xrd0fhgvxxmex6fuatjx6pjupl6gapshs,4996190,0,0,0
milkyway,milk1059avr7q8lz32kr44h62u2ck2l40lgfkrrstwh,241112784,0,0,0
milkyway,milk105a2w6ps0wmhn5qdtgazcm4xc7xaujxrjg9pnq,0,0,0,0
milkyway,milk105a37a29p75ez2pl8jehehsu9xhc8g0zjd7eh0,246055,0,0,0
milkyway,milk105ajaaasqttzpk6ndmhdw70xt56f62tzz7wtlu,5360000,0,0,0
milkyway,milk105c0dl6f2wnzln3vmtgrcxzxtt37rawhyxgrhz,994374469,0,0,0
milkyway,milk105cexacxq7sra875xz9uqfklffn8gts7asd8j8,17602391,0,0,0
milkyway,milk105dgkqnyjras6p5x9e62cfj9vkgzvfrssa92u2,346450125,0,0,0
milkyway,milk105emrlz4kpxt7mpgz207vu27ajghsxa7796lm5,69308213,0,0,0
milkyway,milk105etprlct7g5xrrh620v7h67299hxfheueksdf,89831,0,0,0
milkyway,milk105ffsuhmqch80vl4dgudqpmm5fcyvhh8mtfyx5,1000395,0,0,0
milkyway,milk105gj2f3rfsgv44wmkk67prdzcsphpe2rglamwd,348475714,0,0,0
milkyway,milk105h07f3nquz83ukxyta9tlpxg8n5cnhf4c0vtw,0,0,0,0
milkyway,milk105krdqqtm5v24xs2nx6thehpf8z0dhjrzp4y7w,4881160,0,0,0
milkyway,milk105mrnmrxel0dewfjh09x5kln4nuumf2t8d2we6,2616000,0,0,0
milkyway,milk105n0cyc5zja5tmnnyk4dw0dfhhwg0wcmt79cqm,14187999,0,0,0
milkyway,milk105p8ar67wtj5mfczg95dd88afl958f3qzvdq4m,199,0,0,0
milkyway,milk105qpu8pzu4gmlv5v4rsfz8ughhpm82ae4nsqwf,3579020,0,0,0
milkyway,milk105sh7cmyfu62rqep4ahwdyz6slmnw7lh3s26xv,4622800,0,0,0
milkyway,milk105smuh3j836c5g03m6ryhqm99er2x7ys6yhgs8,68382,0,0,0
milkyway,milk105w80fshz2vsa7yy5muajyrasdptagn32jjhra,0,0,0,0
